Turnamen Name,Team,Game,Net total,Net Mean,Net Min,Net Max,XPM Total,XPM Max,XPM Min,XPM Mean,GPM Total,GPM Max,GPM Min,GPM Mean,Game Time,Label
The International 2022,Secret,LowerBracketFinal_Game1,61200,12240,4700,20600,2899,972,421,579.8,2405,751,341,481,28,WIN
The International 2022,Liquid,LowerBracketFinal_Game1,44600,8920,4300,15300,2146,663,254,429.2,1783,552,214,356.6,28,LOSE
The International 2022,Tundra,UpperBracketFinal_Game2,78500,15700,6900,26100,2975,785,463,595,2332,748,291,466.4,45,LOSE
The International 2022,Secret,UpperBracketFinal_Game2,98600,19720,8600,29900,3628,900,572,725.6,2620,750,274,524,45,WIN
The International 2022,Secret,UpperBracketFinal_Game3,49100,9820,4300,15300,2074,590,272,414.8,1828,542,211,365.6,36,LOSE
The International 2022,Tundra,UpperBracketFinal_Game3,91700,18340,12300,27400,3196,747,554,639.2,2527,637,395,505.4,36,WIN
The International 2022,Secret,UpperBracketFinal_Game1,127600,25520,10700,41500,2945,778,411,589,2736,914,267,547.2,68,LOSE
The International 2022,Tundra,UpperBracketFinal_Game1,189100,37820,22200,64900,3263,746,615,652.6,3285,1124,465,657,68,WIN
The International 2022,Liquid,LowerBracketFinal_Game2,86100,17220,7700,26500,3177,791,451,635.4,2359,680,261,471.8,40,WIN
The International 2022,Secret,LowerBracketFinal_Game2,59600,11920,5400,17900,2418,565,318,483.6,1916,514,221,383.2,40,LOSE
The International 2022,Secret,LowerBracketFinal_Game3,93000,18600,8800,28200,3335,803,507,667,2573,639,348,514.6,39,WIN
The International 2022,Liquid,LowerBracketFinal_Game3,65100,13020,6100,20700,2527,708,331,505.4,2012,631,228,402.4,39,LOSE
The International 2022,Secret,GrandFinal_Game1,61400,12280,5100,20000,2075,580,304,415,1852,608,188,370.4,41,LOSE
The International 2022,Tundra,GrandFinal_Game1,108600,21720,15900,35700,3262,691,604,652.4,2840,906,430,568,41,WIN
The International 2022,Secret,GrandFinal_Game2,77800,15560,6100,23900,2788,691,256,557.6,2285,635,230,457,41,LOSE
The International 2022,Tundra,GrandFinal_Game2,101000,20200,10000,37400,3124,872,441,624.8,2681,901,304,536.2,41,WIN
The International 2022,Secret,GrandFinal_Game3,82000,16400,6500,30800,2405,802,258,481,2257,810,206,451.4,45,LOSE
The International 2022,Tundra,GrandFinal_Game3,113700,22740,12800,37100,3613,835,568,722.6,2729,834,347,545.8,45,WIN
The International 2022,Aster,LowerBracketRound5_Game1,84200,16840,8900,21900,3110,736,456,622,2262,567,311,452.4,45,LOSE
The International 2022,Liquid,LowerBracketRound5_Game1,94900,18980,9400,30000,3159,847,403,631.8,2361,716,314,472.2,45,WIN
The International 2022,Aster,LowerBracketRound5_Game2,85600,17120,9000,28200,2992,702,482,598.4,2396,715,298,479.2,38,WIN
The International 2022,Liquid,LowerBracketRound5_Game2,59700,11940,5400,17400,2415,659,266,483,1924,540,218,384.8,38,LOSE
The International 2022,Aster,LowerBracketRound5_Game3,57100,11420,4400,16700,1826,517,237,365.2,1675,491,199,335,39,LOSE
The International 2022,Liquid,LowerBracketRound5_Game3,98500,19700,9600,33200,3110,959,449,622,2567,899,297,513.4,39,WIN
The International 2022,PSG.LGD,LowerBracketRound4.1_Game1,72300,14460,6700,21000,2555,663,366,511,1934,493,264,386.8,43,LOSE
The International 2022,Aster,LowerBracketRound4.1_Game1,89500,17900,6900,26900,3082,820,383,616.4,2303,664,247,460.6,43,WIN
The International 2022,PSG.LGD,LowerBracketRound4.1_Game2,73000,14600,7100,26300,2341,733,302,468.2,2050,712,256,410,42,LOSE
The International 2022,Aster,LowerBracketRound4.1_Game2,108100,21620,8200,29900,3392,838,468,678.4,2638,722,265,527.6,42,WIN
The International 2022,Thunder Awaken,LowerBracketRound4.2_Game1,118200,23640,11200,35000,3510,862,446,702,2603,783,304,520.6,58,WIN
The International 2022,Liquid,LowerBracketRound4.2_Game1,132200,26440,13500,40100,3484,898,524,696.8,2680,823,335,536,58,WIN
The International 2022,Thunder Awaken,LowerBracketRound4.2_Game2,51100,10220,3000,19800,2213,618,237,442.6,1771,587,165,354.2,36,LOSE
The International 2022,Liquid,LowerBracketRound4.2_Game2,86000,17200,8600,26000,3371,987,438,674.2,2520,742,297,504,36,LOSE
The International 2022,Thunder Awaken,LowerBracketRound4.2_Game3,102100,20420,11600,30200,3594,853,615,718.8,2610,707,333,522,51,LOSE
The International 2022,Liquid,LowerBracketRound4.2_Game3,102600,20520,10100,26600,3356,823,463,671.2,2555,676,308,511,51,WIN
The International 2022,PSG.LGD,LowerBracketRound3.1_Game1,97800,19560,7100,30400,2902,761,300,580.4,2328,718,246,465.6,52,LOSE
The International 2022,Beastcoast,LowerBracketRound3.1_Game1,123000,24600,12000,34300,3305,823,443,661,2645,795,332,529,52,WIN
The International 2022,PSG.LGD,LowerBracketRound3.1_Game2,79100,15820,7500,23500,3436,866,496,687.2,2527,676,312,505.4,34,WIN
The International 2022,Beastcoast,LowerBracketRound3.1_Game2,55800,11160,4300,18600,2497,708,280,499.4,1894,589,216,378.8,34,LOSE
The International 2022,PSG.LGD,LowerBracketRound3.1_Game3,92000,18400,8300,31100,3574,876,588,714.8,2524,830,257,504.8,40,WIN
The International 2022,Beastcoast,LowerBracketRound3.1_Game3,70200,14040,5500,23600,2623,662,366,524.6,2052,644,208,410.4,40,LOSE
The International 2022,OG,LowerBracketRound3.2_Game1,58500,11700,4900,15900,2280,599,310,456,1859,486,198,371.8,34,LOSE
The International 2022,Liquid,LowerBracketRound3.2_Game1,71700,14340,8200,20200,3218,878,478,643.6,2533,701,331,506.6,34,WIN
The International 2022,OG,LowerBracketRound3.2_Game2,51700,10340,4200,15200,2099,577,223,419.8,1885,550,185,377,34,LOSE
The International 2022,Liquid,LowerBracketRound3.2_Game2,84800,16960,7100,26600,3567,957,458,713.4,2665,778,271,533,34,WIN
The International 2022,Secret,UpperBracketRound2.1_Game1,104000,20800,9700,36800,3543,860,523,708.6,2515,747,299,503,45,WIN
The International 2022,Thunder Awaken,UpperBracketRound2.1_Game1,70200,14040,5500,25200,2603,812,248,520.6,2119,699,239,423.8,45,LOSE
The International 2022,Secret,UpperBracketRound2.1_Game2,96800,19360,9800,26600,3454,823,512,690.8,2502,722,310,500.4,42,WIN
The International 2022,Thunder Awaken,UpperBracketRound2.1_Game2,65800,13160,5700,22300,2191,702,195,438.2,1953,583,180,390.6,42,LOSE
The International 2022,Tundra,UpperBracketRound2.2_Game1,126600,25320,13500,38400,3365,773,563,673,2743,822,341,548.6,50,WIN
The International 2022,Aster,UpperBracketRound2.2_Game1,81100,16220,6100,24600,2561,679,349,512.2,1930,528,230,386,50,LOSE
The International 2022,Tundra,UpperBracketRound2.2_Game2,87300,17460,12300,22600,3073,786,464,614.6,2370,603,352,474,41,WIN
The International 2022,Aster,UpperBracketRound2.2_Game2,69700,13940,7400,23700,2215,587,299,443,1985,616,240,397,41,LOSE
The International 2022,Evil Geniuses,UpperBracketRound1.1_Game1,75300,15060,6500,27900,2444,839,320,488.8,1923,635,217,384.6,48,LOSE
The International 2022,Thunder Awaken,UpperBracketRound1.1_Game1,107600,21520,11100,35900,3380,899,458,676,2529,787,290,505.8,48,WIN
The International 2022,Evil Geniuses,UpperBracketRound1.1_Game2,38000,7600,3200,11600,1876,497,240,375.2,1583,449,191,316.6,30,LOSE
The International 2022,Thunder Awaken,UpperBracketRound1.1_Game2,60100,12020,5600,18700,2981,762,412,596.2,2371,683,287,474.2,30,WIN
The International 2022,PSG.LGD,UpperBracketRound1.2_Game1,30600,6120,3400,8800,1619,440,242,323.8,1407,383,169,281.4,24,LOSE
The International 2022,Secret,UpperBracketRound1.2_Game1,47600,9520,4700,14300,2889,811,431,577.8,2261,660,244,452.2,24,WIN
The International 2022,PSG.LGD,UpperBracketRound1.2_Game2,83100,16620,6400,24800,2916,799,405,583.2,2055,590,212,411,51,LOSE
The International 2022,Secret,UpperBracketRound1.2_Game2,118200,23640,12100,41200,3692,961,623,738.4,2545,825,294,509,51,WIN
The International 2022,Tundra,UpperBracketRound1.3_Game1,51400,10280,6200,14100,2693,653,394,538.6,2280,586,287,456,25,WIN
The International 2022,OG,UpperBracketRound1.3_Game1,34800,6960,3200,11200,1763,468,184,352.6,1611,461,183,322.2,25,LOSE
The International 2022,Tundra,UpperBracketRound1.3_Game2,79300,15860,10300,21800,3266,799,531,653.2,2288,593,344,457.6,39,WIN
The International 2022,OG,UpperBracketRound1.3_Game2,66300,13260,5200,21100,2568,722,259,513.6,2021,593,205,404.2,39,LOSE
The International 2022,Aster,UpperBracketRound1.4_Game1,90800,18160,7100,29100,3184,757,418,636.8,2354,715,268,470.8,43,WIN
The International 2022,Liquid,UpperBracketRound1.4_Game1,74400,14880,6300,24500,2337,633,226,467.4,1968,625,195,393.6,43,LOSE
The International 2022,Aster,UpperBracketRound1.4_Game2,101100,20220,10500,37700,2963,691,488,592.6,2463,831,317,492.6,43,WIN
The International 2022,Liquid,UpperBracketRound1.4_Game2,79500,15900,7300,23500,2900,737,404,580,2277,636,240,455.4,43,LOSE
The International 2022,Evil Geniuses,LowerBracketRound2.1_Game1,59000,11800,5900,20600,2219,547,332,443.8,1919,609,233,383.8,37,LOSE
The International 2022,Beastcoast,LowerBracketRound2.1_Game1,81700,16340,7400,21600,3285,879,417,657,2568,689,297,513.6,37,WIN
The International 2022,Evil Geniuses,LowerBracketRound2.1_Game2,72300,14460,7400,24200,2509,642,325,501.8,2087,614,257,417.4,42,LOSE
The International 2022,Beastcoast,LowerBracketRound2.1_Game2,100300,20060,7900,32600,2812,866,331,562.4,2547,841,242,509.4,42,WIN
The International 2022,Boom Esport,LowerBracketRound2.2_Game1,43300,8660,3400,14000,1858,511,260,371.6,1618,485,193,323.6,30,LOSE
The International 2022,PSG.LGD,LowerBracketRound2.2_Game1,63500,12700,7900,17000,2583,744,333,516.6,2301,627,322,460.2,30,WIN
The International 2022,Boom Esport,LowerBracketRound2.2_Game2,59700,11940,7000,17800,2249,667,305,449.8,1964,545,238,392.8,35,LOSE
The International 2022,PSG.LGD,LowerBracketRound2.2_Game2,71500,14300,8000,19900,2663,650,401,532.6,2179,585,248,435.8,35,WIN
The International 2022,OG,LowerBracketRound2.3_Game1,95800,19160,9800,30800,3382,931,449,676.4,2612,798,320,522.4,40,WIN
The International 2022,Gaimin Gladiators,LowerBracketRound2.3_Game1,62500,12500,6600,20400,2208,541,311,441.6,1900,547,215,380,40,LOSE
The International 2022,OG,LowerBracketRound2.3_Game2,103200,20640,8300,35300,3240,888,431,648,2360,677,276,472,55,LOSE
The International 2022,Gaimin Gladiators,LowerBracketRound2.3_Game2,107100,21420,9600,29800,3490,817,569,698,2443,621,297,488.6,55,WIN
The International 2022,OG,LowerBracketRound2.3_Game3,101400,20280,11800,31500,3188,876,386,637.6,2678,778,347,535.6,42,WIN
The International 2022,Gaimin Gladiators,LowerBracketRound2.3_Game3,69600,13920,4000,20700,2593,729,303,518.6,2086,604,216,417.2,42,LOSE
The International 2022,Liquid,LowerBracketRound2.4_Game1,72500,14500,7200,22400,2799,772,407,559.8,2349,707,279,469.8,34,WIN
The International 2022,Entity,LowerBracketRound2.4_Game1,52700,10540,3700,17900,1700,529,210,340,1719,558,161,343.8,34,LOSE
The International 2022,Liquid,LowerBracketRound2.4_Game2,71900,14380,6100,23000,2640,809,337,528,2008,632,206,401.6,44,LOSE
The International 2022,Entity,LowerBracketRound2.4_Game2,102500,20500,9600,35500,3333,875,377,666.6,2621,837,296,524.2,44,WIN
The International 2022,Liquid,LowerBracketRound2.4_Game3,110900,22180,10800,32500,3463,833,432,692.6,2624,693,334,524.8,52,WIN
The International 2022,Entity,LowerBracketRound2.4_Game3,97500,19500,9000,34900,3195,917,403,639,2380,710,268,476,52,LOSE
The International 2022,Beastcoast,LowerBracketRound1.1_Game1,78600,15720,7300,26000,2786,797,335,557.2,2408,747,259,481.6,37,WIN
The International 2022,Hokori,LowerBracketRound1.1_Game1,61300,12260,4900,21500,2163,611,242,432.6,1845,599,197,369,37,LOSE
The International 2022,Boom Esport,LowerBracketRound1.2_Game1,88600,17720,9000,29400,2756,721,400,551.2,2331,721,400,466.2,41,WIN
The International 2022,Team Spirit,LowerBracketRound1.2_Game1,65600,13120,4800,22300,2128,575,283,425.6,1836,580,184,367.2,41,LOSE
The International 2022,Fnatic,LowerBracketRound1.3_Game1,94700,18940,6000,28200,2814,762,337,562.8,2224,652,255,444.8,51,LOSE
The International 2022,Gaimin Gladiators,LowerBracketRound1.3_Game1,111800,22360,10400,39900,3226,823,454,645.2,2678,882,306,535.6,51,WIN
The International 2022,Royal Never Give Up,LowerBracketRound1.4_Game1,207400,41480,22200,72500,2518,677,332,503.6,3054,984,358,610.8,108,LOSE
The International 2022,Entity,LowerBracketRound1.4_Game1,316100,63220,36800,95500,2976,749,437,595.2,3657,913,488,731.4,108,WIN
The International 2022,Evil Geniuses,GroupStageDay1.1A_Game1,71800,14360,6400,21200,2927,773,367,585.4,2345,653,248,469,33,WIN
The International 2022,Soniqs,GroupStageDay1.1A_Game1,53600,10720,3500,18000,2051,600,237,410.2,1847,567,186,369.4,33,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.1A_Game2,47600,9520,5400,13200,2244,530,310,448.8,2213,530,310,442.6,24,WIN
The International 2022,Soniqs,GroupStageDay1.1A_Game2,33400,6680,2500,10500,1753,530,222,350.6,1594,470,178,318.8,24,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.2A_Game1,37300,7460,2900,13200,1596,553,163,319.2,1516,499,159,303.2,27,LOSE
The International 2022,Secret,GroupStageDay1.2A_Game1,57700,11540,6800,15200,2588,654,372,517.6,2380,599,320,476,27,WIN
The International 2022,Thunder Awaken,GroupStageDay1.2A_Game2,64300,12860,6200,20800,3097,918,313,619.4,2515,767,294,503,29,WIN
The International 2022,Secret,GroupStageDay1.2A_Game2,42600,8520,4200,11300,1676,474,198,335.2,1650,422,203,330,29,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.3A_Game1,60000,12000,6000,18700,2729,725,424,545.8,2247,657,268,449.4,30,WIN
The International 2022,PSG.LGD,GroupStageDay1.3A_Game1,46800,9360,5000,15700,2084,635,292,416.8,1766,546,240,353.2,30,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.3A_Game2,111200,22240,12900,29900,3357,751,589,671.4,2597,669,344,519.4,51,WIN
The International 2022,PSG.LGD,GroupStageDay1.3A_Game2,113100,22620,14200,34800,3026,734,426,605.2,2541,679,359,508.2,51,LOSE
The International 2022,Entity,GroupStageDay1.4A_Game1,56800,11360,4200,18400,2397,669,321,479.4,1909,570,202,381.8,39,LOSE
The International 2022,Team Spirit,GroupStageDay1.4A_Game1,94000,18800,8800,26900,3307,908,477,661.4,2626,717,271,525.2,39,WIN
The International 2022,Entity,GroupStageDay1.4A_Game2,52600,10520,4500,18400,2135,252,585,427,1878,644,199,375.6,34,LOSE
The International 2022,Team Spirit,GroupStageDay1.4A_Game2,73900,14780,4700,23700,3126,882,412,625.2,2460,741,213,492,34,WIN
The International 2022,Evil Geniuses,GroupStageDay1.5A_Game1,124200,24840,11400,38000,3512,832,536,702.4,2703,717,344,540.6,53,WIN
The International 2022,OG,GroupStageDay1.5A_Game1,98500,19700,7700,38700,2923,748,407,584.6,2322,775,251,464.4,53,LOSE
The International 2022,Evil Geniuses,GroupStageDay1.5A_Game2,54400,10880,5800,15200,2760,673,314,552,2420,667,292,484,25,WIN
The International 2022,OG,GroupStageDay1.5A_Game2,33000,6600,3100,9300,1754,485,214,350.8,1557,436,170,311.4,25,LOSE
The International 2022,Royal Never Give Up,GroupStageDay1.1B_Game1,109400,21880,13800,31900,2770,718,438,554,2187,614,287,437.4,58,LOSE
The International 2022,Liquid,GroupStageDay1.1B_Game1,121300,24260,12600,41500,3053,733,393,610.6,2498,710,341,499.6,58,WIN
The International 2022,Royal Never Give Up,GroupStageDay1.1B_Game2,41800,8360,4300,12200,2411,628,349,482.2,2276,621,241,455.2,21,WIN
The International 2022,Liquid,GroupStageDay1.1B_Game2,25800,5160,2700,7500,1560,465,172,312,1357,395,171,271.4,21,LOSE
The International 2022,Fnatic,GroupStageDay1.2B_Game1,60800,12160,5200,17500,2084,547,268,416.8,1982,531,239,396.4,35,LOSE
The International 2022,Team Spirit,GroupStageDay1.2B_Game1,75600,15120,8000,23100,2814,827,383,562.8,2381,691,281,476.2,35,WIN
The International 2022,Fnatic,GroupStageDay1.2B_Game2,112100,22420,12400,43000,3193,724,488,638.6,2683,860,341,536.6,50,WIN
The International 2022,Team Spirit,GroupStageDay1.2B_Game2,100600,20120,9600,32300,3044,773,448,608.8,2379,725,268,475.8,50,LOSE
The International 2022,Soniqs,GroupStageDay1.3B_Game1,108300,21660,11900,36200,3466,837,590,693.2,2498,773,302,499.6,48,WIN
The International 2022,Liquid,GroupStageDay1.3B_Game1,76400,15280,8900,22800,2368,643,314,473.6,1855,525,228,371,48,LOSE
The International 2022,Soniqs,GroupStageDay1.3B_Game2,130300,26060,16300,38300,3363,819,495,672.6,2641,731,367,528.2,63,LOSE
The International 2022,Liquid,GroupStageDay1.3B_Game2,146100,29220,11300,44900,2963,784,463,592.6,2732,908,245,546.4,63,WIN
The International 2022,Fnatic,GroupStageDay1.4B_Game1,55100,11020,5000,16300,2242,646,302,448.4,1947,503,197,389.4,37,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.4B_Game1,85700,17140,8300,29600,3471,979,411,694.2,2592,892,282,518.4,37,WIN
The International 2022,Fnatic,GroupStageDay1.4B_Game2,54500,10900,6400,15700,2360,637,283,472,1982,598,245,396.4,32,LOSE
The International 2022,Thunder Awaken,GroupStageDay1.4B_Game2,69500,13900,6400,21000,3377,958,406,675.4,2500,750,270,500,32,WIN
The International 2022,Soniqs,GroupStageDay1.5B_Game1,57000,11400,4300,18500,2349,647,301,469.8,1848,535,187,369.6,37,LOSE
